Date (yr)	Level  (mm)	 Error (mm)
1938.2083	-84.3	11.7
1938.2917	-86.4	11.7
1938.375	-92.1	11.7
1938.4583	-95.2	11.7
1938.5417	-99.7	11.7
1938.625	-96.2	11.7
1938.7083	-94.5	11.7
1938.7917	-89.1	11.7
1938.875	-88.3	11.7
1938.9583	-89	12.6
1939.0417	-88.4	12.4
1939.125	-92.8	12.4
1939.2083	-90.2	12.4
1939.2917	-88.1	12.4
1939.375	-82.8	12.4
1939.4583	-76.1	12.1
1939.5417	-76	12.1
1939.625	-78.8	12.1
1939.7083	-85.3	12.1
1939.7917	-89.4	12
1939.875	-87.8	12
1939.9583	-87.6	12.1
1940.0417	-86.7	11.1
1940.125	-87.9	11.1
1940.2083	-89.6	11.1
1940.2917	-94.3	11
1940.375	-95	11
1940.4583	-99.4	11
1940.5417	-97.5	11
1940.625	-94.6	11
1940.7083	-90.6	11
1940.7917	-86.3	11
1940.875	-83.1	11
1940.9583	-82.1	11
1941.0417	-82.8	10.9
1941.125	-79.6	10.9
1941.2083	-79.2	10.9
1941.2917	-77.8	10.9
1941.375	-79.7	10.8
1941.4583	-79.7	10.8
1941.5417	-76.7	10.8
1941.625	-72.3	10.8
1941.7083	-72.8	10.8
1941.7917	-76.2	10.8
1941.875	-81.9	10.8
1941.9583	-82	10.9
1942.0417	-83.6	10.9
1942.125	-82.6	10.8
1942.2083	-83.9	10.8
1942.2917	-84.4	10.8
1942.375	-83.2	10.8
1942.4583	-80.2	10.8
1942.5417	-76.8	10.9
1942.625	-73.8	10.8
1942.7083	-71.9	10.8
1942.7917	-72.8	10.8
1942.875	-72.9	10.8
1942.9583	-75.3	10.8
1943.0417	-72.8	10.8
1943.125	-72	10.8
1943.2083	-72.5	10.8
1943.2917	-72.7	10.8
1943.375	-76.8	10.7
1943.4583	-76.6	10.7
1943.5417	-80.7	10.7
1943.625	-81.2	10.7
1943.7083	-82.6	10.7
1943.7917	-83.3	10.7
1943.875	-84.5	10.7
1943.9583	-85.1	11.2
1944.0417	-81.6	10.9
1944.125	-75.5	10.9
1944.2083	-72.8	10.8
1944.2917	-77.4	10.7
1944.375	-84.7	10.6
1944.4583	-90.5	10.6
1944.5417	-93.3	10.6
1944.625	-93.5	10.6
1944.7083	-91.6	10.6
1944.7917	-88.6	10.6
1944.875	-84.9	10.6
1944.9583	-83.7	10.6
1945.0417	-82.7	10.6
1945.125	-83	10.6
1945.2083	-83.8	10.6
1945.2917	-82.5	10.6
1945.375	-81.2	10.6
1945.4583	-77.2	10.6
1945.5417	-81.2	10.6
1945.625	-81.4	10.7
1945.7083	-85.7	10.8
1945.7917	-83.2	10.8
1945.875	-82.9	10.8
1945.9583	-79.6	11
1946.0417	-80.7	10.9
1946.125	-76.8	10.9
1946.2083	-77.6	10.9
1946.2917	-73.7	10.9
1946.375	-71.2	10.8
1946.4583	-68.2	10.8
1946.5417	-66.9	10.4
1946.625	-69.4	10.4
1946.7083	-73.3	10.4
1946.7917	-76.8	10.4
1946.875	-79.4	10.4
1946.9583	-80.1	10.2
1947.0417	-80.7	10
1947.125	-78.5	10
1947.2083	-75.9	9.8
1947.2917	-78.2	9.7
1947.375	-77.6	9.5
1947.4583	-75.6	9.5
1947.5417	-72.9	9.5
1947.625	-70.3	9.5
1947.7083	-66.9	9.5
1947.7917	-62.4	9.5
1947.875	-57.7	9.5
1947.9583	-59.4	9.5
1948.0417	-62.3	9.3
1948.125	-66.8	9.3
1948.2083	-68.9	9.3
1948.2917	-68.9	9.3
1948.375	-67.6	9.3
1948.4583	-67.7	9.3
1948.5417	-66.1	9.3
1948.625	-68.1	9.3
1948.7083	-66.7	9.2
1948.7917	-67.1	9.1
1948.875	-65.2	9.2
1948.9583	-64	9.2
1949.0417	-62.4	8.8
1949.125	-62	8.8
1949.2083	-65.6	8.8
1949.2917	-68.2	8.8
1949.375	-70.3	8.8
1949.4583	-70.6	8.2
1949.5417	-71.7	8.2
1949.625	-70.4	8.2
1949.7083	-71.8	8.2
1949.7917	-68.1	8.3
1949.875	-67.6	8.1
1949.9583	-66.1	8.1
1950.0417	-68	8
1950.125	-69.2	7.9
1950.2083	-69.3	7.9
1950.2917	-67.2	7.9
1950.375	-66.7	7.9
1950.4583	-66.3	7.9
1950.5417	-66.9	7.9
1950.625	-67.6	7.9
1950.7083	-65.9	7.9
1950.7917	-63.1	7.9
1950.875	-60.3	7.9
1950.9583	-57.9	7.9
1951.0417	-59.3	7.8
1951.125	-55.3	7.8
1951.2083	-50	7.8
1951.2917	-49.4	7.8
1951.375	-49.1	7.7
1951.4583	-54.2	7.7
1951.5417	-57.8	7.7
1951.625	-61.4	7.7
1951.7083	-60.1	7.7
1951.7917	-60	7.7
1951.875	-58.2	7.7
1951.9583	-60	7.7
1952.0417	-60.6	7.7
1952.125	-61.1	7.7
1952.2083	-62.8	7.7
1952.2917	-62.6	7.7
1952.375	-62	7.7
1952.4583	-59.5	7.7
1952.5417	-60.6	7.7
1952.625	-59.8	7.7
1952.7083	-57.5	7.6
1952.7917	-56.2	7.6
1952.875	-51.6	7.6
1952.9583	-51.1	7.6
1953.0417	-51.5	7.5
1953.125	-54.4	7.5
1953.2083	-56.2	7.5
1953.2917	-54.2	7.5
1953.375	-50.9	7.5
1953.4583	-48.3	7.4
1953.5417	-50.8	7.5
1953.625	-53.4	7.5
1953.7083	-56	7.4
1953.7917	-58.2	7.4
1953.875	-58.9	7.4
1953.9583	-59.6	7.4
1954.0417	-57.4	7.4
1954.125	-56	7.4
1954.2083	-55.3	7.4
1954.2917	-57.6	7.3
1954.375	-57.3	7.3
1954.4583	-60.2	7.3
1954.5417	-62.8	7.3
1954.625	-63.6	7.3
1954.7083	-61.3	7.3
1954.7917	-56.4	7.3
1954.875	-51.2	7.3
1954.9583	-48.9	7.3
1955.0417	-47.2	7.2
1955.125	-47.5	7.1
1955.2083	-50.8	7.1
1955.2917	-54.9	7.1
1955.375	-59.6	7.1
1955.4583	-62.6	7.1
1955.5417	-64.7	7.1
1955.625	-61.5	7.1
1955.7083	-60.4	7.1
1955.7917	-55.9	7.1
1955.875	-55.4	7.1
1955.9583	-56	7.1
1956.0417	-57	7.1
1956.125	-60.6	7.1
1956.2083	-59.8	7.1
1956.2917	-56.9	7.1
1956.375	-56.9	7
1956.4583	-58.4	7
1956.5417	-63.3	7
1956.625	-64.5	7
1956.7083	-65.2	7
1956.7917	-65.6	7
1956.875	-65.7	7
1956.9583	-64.3	7.2
1957.0417	-59.7	7.1
1957.125	-51.5	7.1
1957.2083	-47.3	7.1
1957.2917	-45.6	7.1
1957.375	-43.9	7.1
1957.4583	-43.8	7.1
1957.5417	-44.1	6.8
1957.625	-47.2	6.8
1957.7083	-48	6.8
1957.7917	-49.1	6.8
1957.875	-47.9	6.8
1957.9583	-48.9	6.8
1958.0417	-46.9	6.7
1958.125	-47.4	6.7
1958.2083	-47.3	6.7
1958.2917	-49.8	6.7
1958.375	-49.3	6.7
1958.4583	-49.4	6.7
1958.5417	-48.2	6.6
1958.625	-47.6	6.6
1958.7083	-46.3	6.6
1958.7917	-44	6.6
1958.875	-42.6	6.6
1958.9583	-41.7	6.6
1959.0417	-43.8	6.5
1959.125	-47.1	6.5
1959.2083	-49.2	6.5
1959.2917	-48.5	6.5
1959.375	-48.1	6.5
1959.4583	-46.7	6.5
1959.5417	-46.4	6.5
1959.625	-44	6.5
1959.7083	-45	6.5
1959.7917	-43.4	6.5
1959.875	-47.8	6.6
1959.9583	-47	6.6
1960.0417	-47.3	6.6
1960.125	-43.3	6.6
1960.2083	-43.5	6.6
1960.2917	-41.5	6.6
1960.375	-40.9	6.6
1960.4583	-41.3	6.6
1960.5417	-42.5	6.6
1960.625	-43.3	6.6
